"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001008861",207.138035855113,1.56745485444016,0.255476888676207,6.87199352179497e-11,3.95805239441185e-09
"NM_080576",123.020253344318,-2.10194585708591,0.345548725086434,7.31285767557238e-11,4.19003892130061e-09
"NM_012842",800.961408867083,-1.03954088838808,0.167729462455518,7.40427176497863e-11,4.22043490603782e-09
"NM_001106670",19564.9109308603,-1.08281101586093,0.175425852987826,7.9172927180694e-11,4.48959470059183e-09
"NM_001025696",1503.98757417942,0.943379531115498,0.151900923771896,8.16373713653358e-11,4.58210572647989e-09
"NM_017340",82056.7654648255,2.48388853909246,0.410375409420542,8.13547982771896e-11,4.58210572647989e-09
"NM_001024968",562.579175541051,-0.987272018692429,0.160146653168007,9.12881851747263e-11,5.09777322389424e-09
"NM_001024979",185.573184455403,1.45553645743011,0.238779841290851,9.20037595667021e-11,5.11178464138025e-09
"NM_001159625",26.2765483891158,3.97756654464779,0.643895767931357,9.51907703884319e-11,5.2359683252157e-09
"NM_001107197",52.1051062487279,2.82334070141872,0.466024601903223,9.51323291616677e-11,5.2359683252157e-09
"NM_053532",3047.76225674292,0.633303092081931,0.100818215572844,1.00790943299951e-10,5.51642371762569e-09
"NM_053977",864.199031856264,-2.83417289479493,0.474217391513646,1.17704762820826e-10,6.41024799896982e-09
"NM_001100750",8169.94233741087,0.681165148123121,0.108954445237906,1.23179198936077e-10,6.67534171180189e-09
"NM_001047915",702.96077994592,1.6872289965311,0.2803598160479,1.28674635550766e-10,6.93896894948029e-09
"NM_145097",13671.5514111702,-1.05241321013799,0.172921658737107,1.33327776769968e-10,7.13471938516999e-09
"NM_017248",1305.7944991191,0.856995897386972,0.139125280767164,1.33601690150442e-10,7.13471938516999e-09
"NM_001039611",500.434372665904,0.856550162995338,0.139320938766859,1.40860799777329e-10,7.48603699686182e-09
"NM_001106846",3291.89465268549,-1.29622151853368,0.214828203773922,1.50928391960841e-10,7.98251557673659e-09
"NM_001170340",261.781719943227,1.64757017399141,0.274694617542721,1.55267287432118e-10,8.17270540210877e-09
"NM_012697",3126.42206481719,-1.19336459373938,0.197731578279458,1.68847102671016e-10,8.84517607849449e-09
"NM_001007264",7878.46962526885,-1.62778179485426,0.274222077879495,2.06344023240197e-10,1.07582492875138e-08
"NM_001106375",3438.85524621881,-1.25103422931786,0.209323051565234,2.08487175379284e-10,1.08187142280542e-08
"NM_013114",155.465539643551,-2.62190634935682,0.445484034855171,2.09889493170316e-10,1.08403488937401e-08
"NM_138882",86.9136848418945,-1.70381645470279,0.287229063161939,2.19491305629201e-10,1.12832890337703e-08
"NM_001013916",6479.24798499984,-0.9984664664353,0.165356863335759,2.24547857084031e-10,1.14895394222392e-08
"NM_207616",315.100613619445,-3.08730204276105,0.527503213692581,2.37943705824076e-10,1.21186051285679e-08
"NM_001107883",1063.2036530163,-1.05393737032205,0.175499747720879,2.41419929649364e-10,1.22389891524086e-08
"NM_012815",2661.55564875413,-1.47287703840576,0.248510866266732,2.49781277689486e-10,1.26047882378992e-08
"NM_019318",439.396215292153,-1.27832250748935,0.214770311774016,2.56357116666202e-10,1.28775554358214e-08
"NM_053924",261.413751434474,-0.948723397070386,0.157567087629262,2.59766098939345e-10,1.29437254144958e-08
"NM_001007620",2810.10649731861,0.969194290943211,0.161033236444253,2.60027571730167e-10,1.29437254144958e-08
"NM_001106314",413.868816695684,-1.22322279802752,0.205488297897251,2.67876360453497e-10,1.32547970372691e-08
"NM_181388",591.882651138277,0.937547404081989,0.155741878861816,2.6868645935015e-10,1.32547970372691e-08
"NM_022177",1511.64808143662,-1.14345073903377,0.192461649876312,3.16503557144759e-10,1.55261292752477e-08
"NM_001029911",99.8003938814077,-1.4428774535757,0.24469447095499,3.17551048716547e-10,1.55261292752477e-08
"NM_053551",14504.8205275136,2.45338661757152,0.419696844559765,3.32118718591389e-10,1.61665399257693e-08
"NM_031563",1206.55689034111,0.747617542596052,0.123997868702132,3.79189510026636e-10,1.83764925101455e-08
"NM_017321",10730.361438432,1.42790311510776,0.243843745516765,4.1501394779086e-10,2.0024422980909e-08
"NM_001108142",5830.68728129094,-0.690120203953809,0.114686527066193,4.46279425038937e-10,2.14389517679185e-08
"NM_001108671",152.729015018931,-1.83935754486451,0.317238474503669,4.51961749835229e-10,2.16175269997276e-08
"NM_053535",1559.8745557504,-0.76034544391693,0.127330194707896,5.09510435368487e-10,2.40563274656169e-08
"NM_001008515",1326.18948404285,-1.24299784710058,0.212744394962774,5.0785980782559e-10,2.40563274656169e-08
"NM_001130559",304.837542464275,1.31418234442075,0.225142162572924,5.07282046730548e-10,2.40563274656169e-08
"NM_031510",14111.0048160579,0.757121364421938,0.126783658600124,5.27832971302144e-10,2.47500317659731e-08
"NM_053811",608.259648727318,-0.964983386509891,0.163700861553212,5.28702614762629e-10,2.47500317659731e-08
"NM_001195676",91.1571643397132,2.88627848206802,0.503755709511851,5.96442731979151e-10,2.78028241292485e-08
"NM_053439",2401.25177859346,0.889575305257094,0.15067067036239,6.07144725590521e-10,2.81822747941828e-08
"NM_138908",107.662783350759,1.78447961069802,0.310193515898551,6.17179276545906e-10,2.85276858037038e-08
"NM_053753",3584.54669683246,-1.2485389850268,0.215186433759115,6.42068785284114e-10,2.94308279454606e-08
"NM_001034931",166.532045453194,1.99257737485379,0.347626516042354,6.41811009203124e-10,2.94308279454606e-08
"NM_201426",49.0955319657692,3.1444652808459,0.549929367129443,6.52617245117782e-10,2.97902170686337e-08
"NM_017168",180.562407427206,1.25100976649138,0.216024818813753,7.24476127073186e-10,3.29337267517856e-08
"NM_001014090",2142.72111334796,-1.51271660749775,0.263574371078525,7.42689763289408e-10,3.36227575553366e-08
"NM_031776",676.490547048671,-0.84921437192605,0.144597732922759,7.68137992928038e-10,3.4632319918858e-08
"NM_001006966",10141.0453819256,1.33761541527281,0.232407263078888,7.84832594289801e-10,3.52405851827841e-08
